App,UTG,Type,N_Scores,Mean,Median,Stdev,Min,Max
AdAway,utg01,SRV,3,0.3823,0.41,0.0514,0.323,0.414
AdAway,utg01,HHV,39,0.2975,0.29,0.0245,0.258,0.37
AdAway,utg02,SRV,3,0.2793,0.283,0.0546,0.223,0.332
AdAway,utg02,HHV,39,0.2857,0.276,0.0222,0.251,0.351
AdAway,utg03,SRV,3,0.2793,0.283,0.0546,0.223,0.332
AdAway,utg03,HHV,39,0.2862,0.28,0.0222,0.251,0.352
AntennaPod,utg01,SRV,9,0.4638,0.43,0.1573,0.179,0.67
AntennaPod,utg01,HHV,10,0.3166,0.3175,0.0113,0.301,0.331
AntennaPod,utg02,SRV,9,0.4628,0.425,0.1522,0.224,0.67
AntennaPod,utg02,HHV,10,0.3163,0.317,0.0116,0.301,0.331
AntennaPod,utg03,SRV,9,0.4732,0.425,0.1456,0.224,0.67
AntennaPod,utg03,HHV,10,0.3332,0.3355,0.0065,0.322,0.341
HomeMedkit,utg01,SRV,8,0.4529,0.4895,0.1314,0.164,0.553
HomeMedkit,utg01,HHV,54,0.2928,0.2935,0.0137,0.255,0.321
HomeMedkit,utg02,SRV,8,0.4191,0.438,0.0672,0.275,0.486
HomeMedkit,utg02,HHV,54,0.2996,0.3,0.0141,0.262,0.33
HomeMedkit,utg03,SRV,8,0.4271,0.4385,0.048,0.339,0.485
HomeMedkit,utg03,HHV,54,0.3193,0.3165,0.0132,0.284,0.352
Jigsaw,utg01,SRV,6,0.2778,0.2825,0.1459,0.12,0.428
Jigsaw,utg01,HHV,16,0.2653,0.2615,0.0077,0.257,0.277
Jigsaw,utg02,SRV,6,0.2682,0.2085,0.1485,0.14,0.477
Jigsaw,utg02,HHV,16,0.2199,0.22,0.0035,0.209,0.225
Jigsaw,utg03,SRV,6,0.367,0.39,0.0737,0.224,0.428
Jigsaw,utg03,HHV,16,0.2652,0.2615,0.0078,0.257,0.277
LuxAlarm,utg01,SRV,8,0.383,0.4545,0.2006,0.147,0.618
LuxAlarm,utg01,HHV,11,0.2725,0.27,0.0078,0.262,0.286
LuxAlarm,utg02,SRV,0,,,,,
LuxAlarm,utg02,HHV,11,0.3168,0.312,0.01,0.306,0.342
LuxAlarm,utg03,SRV,8,0.4088,0.4545,0.166,0.223,0.616
LuxAlarm,utg03,HHV,11,0.3168,0.312,0.01,0.306,0.342
PortAuthority,utg01,SRV,7,0.394,0.396,0.1115,0.214,0.586
PortAuthority,utg01,HHV,22,0.2118,0.2145,0.0177,0.184,0.242
PortAuthority,utg02,SRV,7,0.3969,0.396,0.1003,0.223,0.562
PortAuthority,utg02,HHV,22,0.2415,0.2405,0.0261,0.199,0.3
PortAuthority,utg03,SRV,7,0.4203,0.449,0.1063,0.223,0.562
PortAuthority,utg03,HHV,22,0.2506,0.247,0.0201,0.225,0.3
SimpleNotes,utg01,SRV,7,0.4443,0.487,0.1165,0.223,0.569
SimpleNotes,utg01,HHV,35,0.2677,0.264,0.0129,0.241,0.294
SimpleNotes,utg02,SRV,7,0.4534,0.493,0.125,0.223,0.58
SimpleNotes,utg02,HHV,35,0.2953,0.289,0.0141,0.271,0.324
SimpleNotes,utg03,SRV,7,0.4551,0.499,0.1267,0.223,0.587
SimpleNotes,utg03,HHV,35,0.2967,0.293,0.0136,0.271,0.324
WifiAnalyzer,utg01,SRV,16,0.403,0.3685,0.1017,0.272,0.63
WifiAnalyzer,utg01,HHV,15,0.2501,0.241,0.0231,0.222,0.31
WifiAnalyzer,utg02,SRV,16,0.4024,0.3735,0.1032,0.244,0.63
WifiAnalyzer,utg02,HHV,15,0.3142,0.309,0.0182,0.281,0.345
WifiAnalyzer,utg03,SRV,16,0.398,0.358,0.1065,0.244,0.632
WifiAnalyzer,utg03,HHV,15,0.3213,0.32,0.0182,0.279,0.363
